iter,min,max
2,0.0,2.0
2,0.0,2.0
2,0.0,2.0
2,0.0,2.0
2,0.0,2.0
2,0.0,2.0
2,0.0,2.0
3,0.0,2.0
3,0.0,2.0
3,0.0,2.0
3,0.0,2.0
3,0.0,3.0
3,0.0,3.0
3,0.0,3.0
3,0.0,3.0
3,0.0,3.0
4,0.0,3.0
4,0.0,3.0
4,0.0,3.0
4,0.0,3.0
4,0.0,3.0
4,0.0,3.0
4,0.0,3.0
4,0.0,3.0
4,0.0,3.0
5,0.0,3.0
5,0.0,3.0
5,0.0,3.0
5,0.0,3.0
5,-3.0,3.0
5,-3.0,3.0
5,-3.0,4.0
5,-3.0,4.0
6,-3.0,4.0
6,-3.0,4.0
6,-3.0,4.0
6,-3.0,4.0
6,-3.0,4.0
6,-3.0,4.0
6,-3.0,4.0
6,-3.0,4.0
6,-3.0,5.0
6,-4.0,5.0
7,-4.0,5.0
7,-4.0,5.0
7,-4.0,5.0
7,-4.0,5.0
7,-4.0,5.0
7,-4.0,5.0
7,-4.0,5.0
7,-5.0,5.0
8,-5.0,5.0
8,-5.0,5.0
8,-5.0,5.0
8,-5.0,5.0
9,-5.0,5.0
9,-5.0,5.0
9,-5.0,5.0
9,-5.0,5.0
10,-5.0,5.0
10,-5.0,5.0
10,-5.0,5.0
10,-5.0,5.0
10,-9.0,5.0
10,-9.0,5.0
10,-9.0,5.0
11,-9.0,5.0
11,-9.0,5.0
11,-9.0,5.0
11,-9.0,5.0
0,-1.0,0.0
1,-1.0,1.0
1,-1.0,1.0
2,-1.0,1.0
2,-1.0,1.0
2,-1.0,1.0
2,-2.0,1.0
2,-2.0,2.0
2,-2.0,2.0
2,-2.0,2.0
3,-2.0,2.0
3,-2.0,2.0
3,-2.0,2.0
3,-2.0,2.0
3,-2.0,2.0
3,-2.0,2.0
3,-2.0,3.0
3,-2.0,3.0
4,-2.0,3.0
4,-3.0,3.0
4,-3.0,3.0
4,-3.0,3.0
4,-3.0,3.0
4,-3.0,3.0
5,-3.0,3.0
5,-4.0,3.0
5,-4.0,3.0
5,-4.0,3.0
5,-4.0,3.0
5,-4.0,3.0
5,-4.0,3.0
5,-4.0,3.0
6,-4.0,3.0
6,-4.0,3.0
6,-4.0,4.0
6,-5.0,4.0
7,-5.0,5.0
7,-6.0,5.0
